	layer	speaker	start	milis_start	finish	milis_finish	duration	duration_2	text	semantic_annotation
21	text@aaa2005f	@aaa2005f	00:04:43.491	283.491	00:04:45.293	285.293	00:00:01.802	1.802	а ну вообщем там пятна на солнце	где_ADV здесь_ADV тамя_NOUN пятнышко_NOUN крапинка_NOUN подтек_NOUN солнце_PROPN солнечный_ADJ солнышко_NOUN
22	text@aaa2005f	@aaa2005f	00:04:45.478	285.478	00:04:47.026	287.026	00:00:01.548	1.548	аа солнце в конце туннеля	солнце_PROPN солнечный_ADJ солнышко_NOUN концоварищ_NOUN концй-то_NOUN конец_PROPN туннель_NOUN эстакада_NOUN штольня_NOUN
23	text@aaa2005f	@aaa2005f	00:04:47.991	287.991	00:04:49.935	289.935	00:00:01.944	1.944	аа ну по-моему да вот	конечно_ADV вообще-то_NOUN пожалуй_ADV
24	text@aaa2005f	@aaa2005f	00:04:49.939	289.939	00:04:52.583	292.583	00:00:02.644	2.644	я совершенно никого не знаю пр= по именам к сожалению	абсолютно_ADV совсем_ADV вовсе_ADV понимать_VERB думать_VERB помнить_VERB фамилия_NOUN имя_PROPN название_NOUN увы_ADV однако_ADV сожалеть_VERB
25	text@aaa2005f	@aaa2005f	00:04:52.596	292.596	00:04:54.639	294.639	00:00:02.043	2.043	аа вот и мы как-то из-за того что они знакомы	почему-то_ADV что-то_NOUN отчего-то_ADV приятель_NOUN знакомый_ADJ сослуживец_NOUN
26	text@aaa2005f	@aaa2005f	00:04:54.648	294.648	00:04:57.091	297.091	00:00:02.443	2.443	мы как-то с ними тренировались вместе	почему-то_ADV что-то_NOUN отчего-то_ADV тренировать_VERB тренировка_NOUN тренируться_VERB втроем_ADV вчетвером_ADV вдвоем_ADV
27	text@aaa2005f	@aaa2005f	00:04:57.252	297.252	00:04:59.878	299.878	00:00:02.626	2.626	аа вот и / уровень совершенно другой	уровень_PROPN показатель_NOUN эффективность_NOUN абсолютно_ADV совсем_ADV вовсе_ADV другий_ADJ иной_ADJ разный_ADJ
28	text@aaa2005f	@aaa2005f	00:04:59.887	299.887	00:05:00.787	300.787	00:00:00.900	0.9	и мы видели	увидать_VERB разглядеть_VERB видеть_ADJ
29	text@aaa2005f	@aaa2005f	00:05:00.787	300.787	00:05:02.209	302.209	00:00:01.422	1.422	как тренер с ними взаимодействует	хоккеист_NOUN сборная_NOUN фигурист_NOUN взаимодействие_NOUN взаимосвязывать_VERB функционировать_VERB
30	text@aaa2005f	@aaa2005f	00:05:02.504	302.504	00:05:03.900	303.9	00:00:01.396	1.396	ээ мы сидели в шоке	стоять_VERB садиться_VERB примоститься_VERB стресс_NOUN шоко_NOUN потрясение_NOUN
31	text@aaa2005f	@aaa2005f	00:05:03.984	303.984	00:05:05.413	305.413	00:00:01.429	1.429	что / вау	-фактор_NOUN чувак_NOUN максимус_PROPN
32	text@aaa2005f	@aaa2005f	00:05:05.470	305.47	00:05:06.374	306.374	00:00:00.904	0.904	откуда они столько знают	откуда-то_ADV отколь_ADV оттуда_ADV сколько_ADV лет-то_ADJ беда_ADV понимать_VERB думать_VERB помнить_VERB
33	text@aaa2005f	@aaa2005f	00:05:06.428	306.428	00:05:07.513	307.513	00:00:01.085	1.085	почему они такие умные	зачем_ADV отчего_ADV ответ_PROPN неглупый_ADJ начитанный_VERB начитанный_ADJ
34	text@aaa2005f	@aaa2005f	00:05:07.670	307.67	00:05:09.220	309.22	00:00:01.550	1.55	вот что мы вроде тоже не тупые	тупой_ADJ тупой_PROPN туповатый_ADJ
35	text@aaa2005f	@aaa2005f	00:05:09.230	309.23	00:05:11.130	311.13	00:00:01.900	1.9	но как-то у нас / ну совершенно не так	почему-то_ADV что-то_NOUN отчего-то_ADV абсолютно_ADV совсем_ADV вовсе_ADV потому_ADV как_ADV иначе_ADV
36	text@aaa2005f	@aaa2005f	00:05:15.190	315.19	00:05:18.640	318.64	00:00:03.450	3.45	оо вот / я не уверена что я это смогу сейчас словами сказать	иеросхимонах_NOUN hom_X митрополита_NOUN уверить_VERB убеждать_VERB уверение_NOUN теперь_ADV сегодня_ADV наверное_ADV фраза_NOUN слово_PROPN словечко_NOUN говорить_VERB отвечать_VERB возражать_VERB
37	text@aaa2005f	@aaa2005f	00:05:18.670	318.67	00:05:22.070	322.07	00:00:03.400	3.4	ну как-то у нас это всё более мягко	почему-то_ADV что-то_NOUN отчего-то_ADV менее_ADV достаточно_ADV наиболее_ADV мягко_ADJ деликатно_ADV вкрадчиво_ADV
38	text@aaa2005f	@aaa2005f	00:05:22.100	322.1	00:05:23.530	323.53	00:00:01.430	1.43	то есть вот / условно нам говорят	нет_VERB существовать_VERB иметь_VERB категория_NOUN упрощенно_ADV условный_ADJ сказать_VERB рассуждать_VERB возражать_VERB
39	text@aaa2005f	@aaa2005f	00:05:23.550	323.55	00:05:25.700	325.7	00:00:02.150	2.15	что блин ребята посмотрите пожалуйста звёздные войны	пирог_NOUN оладья_NOUN пирога_NOUN ребята_PROPN пацан_NOUN девчата_NOUN глядеть_VERB взглядывать_VERB поглядеть_VERB попросить_VERB пожалуйста_NOUN извинять_VERB звездин_ADJ звезда_NOUN галактический_ADJ войне_NOUN война_PROPN война_ADV
40	text@aaa2005f	@aaa2005f	00:05:25.710	325.71	00:05:27.400	327.4	00:00:01.690	1.69	очень много вопросов н= про звёздные войны	чрезвычайно_ADV довольно_ADV весьма_ADV мало_ADV немало_ADV больше_NUM вопрос_PROPN проблема_NOUN задача_NOUN звездин_ADJ звезда_NOUN галактический_ADJ войне_NOUN война_PROPN война_ADV
41	text@aaa2005f	@aaa2005f	00:05:27.530	327.53	00:05:29.310	329.31	00:00:01.780	1.78	вот мы такие ну блин	пирог_NOUN оладья_NOUN пирога_NOUN
42	text@aaa2005f	@aaa2005f	00:05:29.330	329.33	00:05:30.980	330.98	00:00:01.650	1.65	ну не очень как-то интересно	чрезвычайно_ADV довольно_ADV весьма_ADV почему-то_ADV что-то_NOUN отчего-то_ADV интересно_ADV интересно_ADJ интересный_ADJ
43	text@aaa2005f	@aaa2005f	00:05:31.010	331.01	00:05:33.250	333.25	00:00:02.240	2.24	ну потом как-нибудь вот	затем_ADV после_ADV пот_ADV -нибудь_ADV что-нибудь_NOUN авось_ADV
44	text@aaa2005f	@aaa2005f	00:05:33.260	333.26	00:05:35.360	335.36	00:00:02.100	2.1	а вот эта команда там условно	команда_PROPN сборная_NOUN премьер-лига_NOUN где_ADV здесь_ADV тамя_NOUN категория_NOUN упрощенно_ADV условный_ADJ
45	text@aaa2005f	@aaa2005f	00:05:35.600	335.6	00:05:37.370	337.37	00:00:01.770	1.77	я не помню уже что мы тренили	помниться_VERB вспоминать_VERB запомнить_VERB еще_ADV рано_ADV давный_ADJ
46	text@aaa2005f	@aaa2005f	00:05:37.810	337.81	00:05:41.168	341.168	00:00:03.358	3.358	а / но / условно какой-то был свояк или что-то такое	категория_NOUN упрощенно_ADV условный_ADJ что-то_NOUN какой-то_ADV странный_ADJ сват_NOUN шурин_NOUN сват_ADJ какой-то_ADJ что-нибудь_NOUN смутно_ADV
47	text@aaa2005f	@aaa2005f	00:05:41.436	341.436	00:05:43.110	343.11	00:00:01.674	1.674	вот и там сидели ребята	где_ADV здесь_ADV тамя_NOUN стоять_VERB садиться_VERB примоститься_VERB ребята_PROPN пацан_NOUN девчата_NOUN
48	text@aaa2005f	@aaa2005f	00:05:43.130	343.13	00:05:46.120	346.12	00:00:02.990	2.99	просто э вот так вот по щелчку все ответы выдавали	потому_ADV как_ADV иначе_ADV шлепка_NOUN щелчка_NOUN щелкнуть_VERB ответ_PROPN ответа_NOUN разъяснение_NOUN выдать_VERB выдача_NOUN получать_VERB
49	text@aaa2005f	@aaa2005f	00:05:46.328	346.328	00:05:47.700	347.7	00:00:01.372	1.372	а и когда они ошибались	заблуждаться_VERB ошибиться_VERB прав_ADJ
50	text@aaa2005f	@aaa2005f	00:05:47.770	347.77	00:05:51.460	351.46	00:00:03.690	3.69	у них такой м / достаточно / неприятное в общем	километр_NOUN сантиметр_NOUN кмя_NOUN недостаточно_ADV довольно_ADV слишком_ADV досадный_ADJ тягостный_ADJ неловкий_ADJ отдельный_ADJ целое_NOUN существенный_ADJ
51	text@aaa2005f	@aaa2005f	00:05:51.804	351.804	00:05:54.540	354.54	00:00:02.736	2.736	ээ появлялось какое-то ощущение между ними и тренером	появиться_VERB показываться_VERB возникать_VERB что-то_NOUN какой-то_ADV странный_ADJ чувство_NOUN переживание_NOUN сознание_NOUN хоккеист_NOUN сборная_NOUN фигурист_NOUN
52	text@aaa2005f	@aaa2005f	00:05:54.570	354.57	00:05:55.824	355.824	00:00:01.254	1.254	и что тренер типа	хоккеист_NOUN сборная_NOUN фигурист_NOUN разновидность_NOUN элемент_NOUN форма_NOUN
53	text@aaa2005f	@aaa2005f	00:05:55.856	355.856	00:05:57.140	357.14	00:00:01.284	1.284	так шо это такое	потому_ADV как_ADV иначе_ADV
54	text@aaa2005f	@aaa2005f	00:05:57.160	357.16	00:05:58.000	358.0	00:00:00.840	0.84	надо выучить	нужный_ADJ нельзя_ADV надотец_NOUN выучить_VERB заучивать_VERB заучить_VERB
55	text@aaa2005f	@aaa2005f	00:05:58.260	358.26	00:06:01.920	361.92	00:00:03.660	3.66	вот э и как будто бы их в общем больше муштруют	отдельный_ADJ целое_NOUN существенный_ADJ огромный_ADJ небольшой_ADJ громадный_ADJ маршировка_NOUN муштра_NOUN муштровка_NOUN
56	text@aaa2005f	@aaa2005f	00:06:02.412	362.412	00:06:05.010	365.01	00:00:02.598	2.598	и они вот как пулемёты выдают все правильные ответы	винтовка_NOUN пулеметчик_NOUN пулемевать_NOUN выдать_VERB выдача_NOUN получать_VERB неправильный_ADJ правильность_NOUN целесообразный_ADJ ответ_PROPN ответа_NOUN разъяснение_NOUN
57	text@aaa2005f	@aaa2005f	00:06:05.132	365.132	00:06:06.292	366.292	00:00:01.160	1.16	а у нас не так	потому_ADV как_ADV иначе_ADV
58	text@aaa2005f	@aaa2005f	00:06:06.340	366.34	00:06:08.810	368.81	00:00:02.470	2.47	мы там / как-то более мягко всё это	где_ADV здесь_ADV тамя_NOUN почему-то_ADV что-то_NOUN отчего-то_ADV менее_ADV достаточно_ADV наиболее_ADV мягко_ADJ деликатно_ADV вкрадчиво_ADV
59	text@aaa2005f	@aaa2005f	00:06:09.288	369.288	00:06:11.580	371.58	00:00:02.292	2.292	то есть явно если бы у нас её не было	нет_VERB существовать_VERB иметь_VERB видимо_ADV очевидно_ADV похоже_ADV
60	text@aaa2005f	@aaa2005f	00:06:11.600	371.6	00:06:13.150	373.15	00:00:01.550	1.55	аа было бы всё ещё хуже	уже_ADV ещё_ADV немногое_NOUN плохой_ADV плохо_ADJ хороший_ADJ
61	text@aaa2005f	@aaa2005f	00:06:13.296	373.296	00:06:15.950	375.95	00:00:02.654	2.654	но я бы сказала скорее что она не как тренер	говорить_VERB отвечать_VERB возражать_VERB наоборот_ADV возможно_ADV отнюдь_ADV хоккеист_NOUN сборная_NOUN фигурист_NOUN
62	text@aaa2005f	@aaa2005f	00:06:16.000	376.0	00:06:18.710	378.71	00:00:02.710	2.71	скорее вот как руководитель там / организатор	наоборот_ADV возможно_ADV отнюдь_ADV руководство_NOUN сотрудник_NOUN возглавлять_VERB где_ADV здесь_ADV тамя_NOUN инициатор_NOUN руководитель_NOUN участник_NOUN
63	text@aaa2005f	@aaa2005f	00:06:18.780	378.78	00:06:19.950	379.95	00:00:01.170	1.17	и я не знаю ещё кто	понимать_VERB думать_VERB помнить_VERB уже_ADV ещё_ADV немногое_NOUN
64	text@aaa2005f	@aaa2005f	00:06:20.660	380.66	00:06:23.760	383.76	00:00:03.100	3.1	аа вот / но как тренер даже не знаю	хоккеист_NOUN сборная_NOUN фигурист_NOUN понимать_VERB думать_VERB помнить_VERB
65	text@aaa2005f	@aaa2005f	00:06:24.360	384.36	00:06:25.044	385.044	00:00:00.684	0.684	как будто бы #делает поясняющий жест#	сделать_VERB длать_VERB сделавша_VERB комментировать_VERB заявлять_VERB объяснять_VERB жестикуляция_NOUN телодвижение_NOUN кивок_NOUN
66	text@aaa2005f	@aaa2005f	00:06:29.450	389.45	00:06:31.200	391.2	00:00:01.750	1.75	вот типа такого мне кажется да	разновидность_NOUN элемент_NOUN форма_NOUN казаться_NOUN чувствовать_VERB представляться_VERB
67	text@aaa2005f	@aaa2005f	00:06:31.210	391.21	00:06:32.530	392.53	00:00:01.320	1.32	и как будто бы это правда работает	неправда_NOUN истина_NOUN ложь_NOUN трудиться_VERB проработать_VERB зарабатывать_VERB
68	text@aaa2005f	@aaa2005f	00:06:32.540	392.54	00:06:35.160	395.16	00:00:02.620	2.62	потому что ну / я не помню точно	конечно_ADV оттого_ADV вовсе_ADV помниться_VERB вспоминать_VERB запомнить_VERB верно_ADV ясно_ADV странно_ADV
69	text@aaa2005f	@aaa2005f	00:06:35.160	395.16	00:06:37.256	397.256	00:00:02.096	2.096	но они точно занимали какие-то первые там вторые места	верно_ADV ясно_ADV странно_ADV занять_VERB находиться_VERB уступать_VERB что-то_NOUN какой-то_ADV странный_ADJ третий_ADJ второй_ADJ последний_ADJ где_ADV здесь_ADV тамя_NOUN четвертый_ADJ третий_ADJ пятый_ADJ место_PROPN место_NUM мсто_NOUN
70	text@aaa2005f	@aaa2005f	00:06:37.411	397.411	00:06:40.400	400.4	00:00:02.989	2.989	аа как минимум на прошлом шчре вот	максимум_NOUN минимальный_ADJ минимально_ADV позапрошлый_ADJ минувший_ADJ двадцатый_ADJ
71	text@aaa2005f	@aaa2005f	00:06:40.700	400.7	00:06:43.011	403.011	00:00:02.311	2.311	аа мы были в середине списка все три года	начало_NOUN конец_NOUN -августа_NOUN список_PROPN перечень_NOUN формуляр_NOUN четыре_NUM два_NUM шесть_NUM год_PROPN месяц_NOUN гектодар_NOUN
72	text@aaa2005f	@aaa2005f	00:06:43.022	403.022	00:06:45.056	405.056	00:00:02.034	2.034	поэтому #смеётся#	естественно_ADV вообще_ADV потому_ADV хохотать_VERB шутить_VERB засмеяться_VERB
73	text@aaa2005f	@aaa2005f	00:07:11.000	431.0	00:07:12.333	432.333	00:00:01.333	1.333	блин вот эта дилемма	пирог_NOUN оладья_NOUN пирога_NOUN дилемм_NOUN антиномия_NOUN вопрос_NOUN
74	text@aaa2005f	@aaa2005f	00:07:12.333	432.333	00:07:15.122	435.122	00:00:02.789	2.789	я думаю о ней наверное / всё время пока играю	подумать_VERB думаться_VERB размышлять_VERB наверно_ADV наверняка_ADV вообще-то_NOUN времени_NOUN пора_NOUN период_NOUN пока_NOUN сейчас_ADV покуда_ADV играть_NOUN сыграть_VERB разыгрывать_VERB
75	text@aaa2005f	@aaa2005f	00:07:15.122	435.122	00:07:16.156	436.156	00:00:01.034	1.034	и я так и не нашла ответа	потому_ADV как_ADV иначе_ADV найти_VERB отыскивать_VERB искать_VERB ответ_PROPN ответа_NOUN разъяснение_NOUN
76	text@aaa2005f	@aaa2005f	00:07:16.167	436.167	00:07:19.056	439.056	00:00:02.889	2.889	потому что аа / ну блин	конечно_ADV оттого_ADV вовсе_ADV пирог_NOUN оладья_NOUN пирога_NOUN
77	text@aaa2005f	@aaa2005f	00:07:19.056	439.056	00:07:21.167	441.167	00:00:02.111	2.111	с одной стороны вот у нас вот умная команда	один_ADJ два_NUM один_NOUN направление_NOUN сторонтраница_NOUN вправо_ADV неглупый_ADJ начитанный_VERB начитанный_ADJ команда_PROPN сборная_NOUN премьер-лига_NOUN
78	text@aaa2005f	@aaa2005f	00:07:21.178	441.178	00:07:23.889	443.889	00:00:02.711	2.711	где всем друг с другом плюс минус приятно	там_ADV здесь_ADV где-нибудь_ADV друга_NOUN дружка_NOUN друг_PROPN друга_NOUN дружка_NOUN друг_PROPN плюс_NOUN нуль_NOUN единичка_NOUN приятность_NOUN приятный_ADV приятнейший_ADJ
79	text@aaa2005f	@aaa2005f	00:07:23.889	443.889	00:07:25.833	445.833	00:00:01.944	1.944	аа и вообще классно	конечно_ADV вовсе_ADV потому_ADV здорово_ADV неплохой_ADV супер_NOUN
80	text@aaa2005f	@aaa2005f	00:07:25.844	445.844	00:07:27.956	447.956	00:00:02.112	2.112	и вот мы ездили на первенство сибири условно	возить_VERB разъезжать_VERB приезжать_VERB чемпионат_NOUN чемпион_NOUN кубок_PROPN категория_NOUN упрощенно_ADV условный_ADJ
81	text@aaa2005f	@aaa2005f	00:07:27.978	447.978	00:07:30.532	450.532	00:00:02.554	2.554	аа и скорее мы правда ездили за вайбом	наоборот_ADV возможно_ADV отнюдь_ADV неправда_NOUN истина_NOUN ложь_NOUN возить_VERB разъезжать_VERB приезжать_VERB
82	text@aaa2005f	@aaa2005f	00:07:30.560	450.56	00:07:31.692	451.692	00:00:01.132	1.132	и на все шчры скорее всего	наоборот_ADV возможно_ADV отнюдь_ADV
83	text@aaa2005f	@aaa2005f	00:07:31.692	451.692	00:07:33.696	453.696	00:00:02.004	2.004	мы ездили вот просто за атмосферой вот этой	возить_VERB разъезжать_VERB приезжать_VERB атмосфера_PROPN озон_NOUN среда_NOUN
84	text@aaa2005f	@aaa2005f	00:07:33.780	453.78	00:07:34.544	454.544	00:00:00.764	0.764	что вау	-фактор_NOUN чувак_NOUN максимус_PROPN
85	text@aaa2005f	@aaa2005f	00:07:34.556	454.556	00:07:36.000	456.0	00:00:01.444	1.444	мы едем из южно-сахалинска	поехать_VERB выезжать_VERB доезжать_VERB
86	text@aaa2005f	@aaa2005f	00:07:36.022	456.022	00:07:38.956	458.956	00:00:02.934	2.934	через всю страну там в условные челябинск или москву	россия_PROPN государство_NOUN европа_PROPN где_ADV здесь_ADV тамя_NOUN символический_ADJ обозначение_NOUN условность_NOUN
87	text@aaa2005f	@aaa2005f	00:07:38.956	458.956	00:07:39.456	459.456	00:00:00.500	0.5	вау	-фактор_NOUN чувак_NOUN максимус_PROPN
88	text@aaa2005f	@aaa2005f	00:07:39.752	459.752	00:07:41.412	461.412	00:00:01.660	1.66	и что нам даже не особо было важно 	наиболее_ADV особенно_ADV чрезвычайно_ADV существенный_ADJ значимый_ADJ актуальный_ADJ
89	text@aaa2005f	@aaa2005f	00:07:41.508	461.508	00:07:42.356	462.356	00:00:00.848	0.848	что мы там займём	где_ADV здесь_ADV тамя_NOUN занять_VERB находиться_VERB уступать_VERB
90	text@aaa2005f	@aaa2005f	00:07:42.756	462.756	00:07:45.400	465.4	00:00:02.644	2.644	аа что типа просто мы поучаствуем	разновидность_NOUN элемент_NOUN форма_NOUN инициировать_VERB пообщаться_VERB спонсировать_VERB
91	text@aaa2005f	@aaa2005f	00:07:45.411	465.411	00:07:47.933	467.933	00:00:02.522	2.522	классно потусим с крутыми командами вот	здорово_ADV неплохой_ADV супер_NOUN крутой_NOUN крутой_VERB пологий_ADJ команда_PROPN сборная_NOUN премьер-лига_NOUN
92	text@aaa2005f	@aaa2005f	00:07:48.620	468.62	00:07:51.144	471.144	00:00:02.524	2.524	аа но с другой стороны всё равно сидит вот этот червячок	другий_ADJ иной_ADJ разный_ADJ направление_NOUN сторонтраница_NOUN вправо_ADV одинаковый_ADJ значит_ADV следовательно_ADV стоять_VERB садиться_VERB примоститься_VERB червяк_NOUN жучок_NOUN букашка_NOUN
93	text@aaa2005f	@aaa2005f	00:07:51.178	471.178	00:07:51.622	471.622	00:00:00.444	0.444	что блин	пирог_NOUN оладья_NOUN пирога_NOUN
94	text@aaa2005f	@aaa2005f	00:07:51.852	471.852	00:07:54.711	474.711	00:00:02.859	2.859	а вот если б мы реально сидели и ботали условно	реальный_ADJ объективно_ADV реальность_NOUN стоять_VERB садиться_VERB примоститься_VERB категория_NOUN упрощенно_ADV условный_ADJ
95	text@aaa2005f	@aaa2005f	00:07:54.928	474.928	00:07:56.722	476.722	00:00:01.794	1.794	аа мы бы взяли	взять_VERB забирать_VERB забрать_VERB
96	text@aaa2005f	@aaa2005f	00:07:56.767	476.767	00:07:57.978	477.978	00:00:01.211	1.211	и там не знаю	где_ADV здесь_ADV тамя_NOUN понимать_VERB думать_VERB помнить_VERB
97	text@aaa2005f	@aaa2005f	00:07:58.000	478.0	00:08:00.400	480.4	00:00:02.400	2.4	заняли бы в первой тройке какие-нибудь места	занять_VERB находиться_VERB уступать_VERB третий_ADJ второй_ADJ последний_ADJ четверка_NOUN пошевень_NOUN иноходец_NOUN место_PROPN место_NUM мсто_NOUN
98	text@aaa2005f	@aaa2005f	00:08:00.411	480.411	00:08:01.911	481.911	00:00:01.500	1.5	что реально мы могли бы это сделать	реальный_ADJ объективно_ADV реальность_NOUN моченька_NOUN мочить_NOUN моча_NOUN сделать_VERB длать_VERB сделавша_VERB
99	text@aaa2005f	@aaa2005f	00:08:02.064	482.064	00:08:04.024	484.024	00:00:01.960	1.96	просто у нас нет такого подхода / вот	не_VERB быть_VERB существовать_VERB концепция_NOUN метод_NOUN методология_NOUN
100	text@aaa2005f	@aaa2005f	00:08:04.189	484.189	00:08:06.511	486.511	00:00:02.322	2.322	и с одной стороны это оправдывает его	один_ADJ два_NUM один_NOUN направление_NOUN сторонтраница_NOUN вправо_ADV оправдать_VERB оправдаться_VERB оправдываться_VERB
101	text@aaa2005f	@aaa2005f	00:08:22.600	502.6	00:08:24.444	504.444	00:00:01.844	1.844	мм тоже сложный вопрос	миллиметр_NOUN ммя_NOUN сантиметр_NOUN непростой_ADJ сложнейший_ADJ трудный_ADJ вопрос_PROPN проблема_NOUN задача_NOUN
102	text@aaa2005f	@aaa2005f	00:08:24.444	504.444	00:08:26.533	506.533	00:00:02.089	2.089	потому что скорее зависит от тех	конечно_ADV оттого_ADV вовсе_ADV наоборот_ADV возможно_ADV отнюдь_ADV определять_VERB предопределять_VERB влиять_VERB
103	text@aaa2005f	@aaa2005f	00:08:26.533	506.533	00:08:28.444	508.444	00:00:01.911	1.911	кто в этот момент находится в команде	стадия_NOUN этап_NOUN фаза_NOUN расположенный_ADJ располагать_ADJ расположенный_VERB команда_PROPN сборная_NOUN премьер-лига_NOUN
104	text@aaa2005f	@aaa2005f	00:08:28.511	508.511	00:08:29.833	509.833	00:00:01.322	1.322	аа потому что	конечно_ADV оттого_ADV вовсе_ADV
105	text@aaa2005f	@aaa2005f	00:08:30.244	510.244	00:08:32.867	512.867	00:00:02.623	2.623	а ну и в принципе от какого-то общего настроя	концепция_NOUN идея_NOUN теория_NOUN что-то_NOUN какой-то_ADV странный_ADJ отдельный_ADJ целое_NOUN существенный_ADJ настроение_NOUN настроенность_NOUN настроить_NOUN
106	text@aaa2005f	@aaa2005f	00:08:32.878	512.878	00:08:34.489	514.489	00:00:01.611	1.611	который даже непонятно от чего зависит	необъяснимый_ADJ странный_ADJ неясный_ADJ определять_VERB предопределять_VERB влиять_VERB
107	text@aaa2005f	@aaa2005f	00:08:34.500	514.5	00:08:37.022	517.022	00:00:02.522	2.522	то есть например у нас э / все года	нет_VERB существовать_VERB иметь_VERB частность_NOUN подобный_ADJ аналогичный_ADJ год_PROPN месяц_NOUN гектодар_NOUN
